"ST","AGEP","race","hispanic","female","logwage","logearn","field","mfield"
"01",30,1,0,1,6.5510803350434,10.2399597891573,62,6
"01",39,1,0,0,7.62070508683826,11.5327280922664,25,10
"01",27,1,0,0,7.39326309476384,11.0821425488778,50,7
"01",26,1,0,1,6.5510803350434,10.2399597891573,24,4
"01",33,1,0,0,7.37775890822787,11.0666383623418,62,6
"01",34,2,0,1,7.02553831463852,10.7144177687525,61,9
"01",33,1,0,1,6.90775527898214,10.5966347330961,61,9
"01",27,1,0,0,6.47697236288968,10.1658518170036,62,6
"01",31,1,0,0,7.39326309476384,11.0821425488778,62,6
"01",27,1,0,1,6.53306182954073,10.2219412836547,36,7
"01",29,1,0,1,6.90775527898214,10.5966347330961,61,9
"01",38,1,0,0,7.46737106691756,11.1562505210315,55,5
"01",34,1,0,0,7.25606197325035,11.3504065354725,62,6
"01",27,1,0,1,6.95654544315157,10.6454248972655,29,10
"01",39,2,0,0,7.67322312112171,11.3621025752356,62,6
"01",26,1,0,0,6.68906607801731,10.7144177687525,53,10
"01",28,1,0,1,7.17011954344963,10.8589989975636,19,1
"01",39,1,0,1,8.1605182474775,11.8493977015914,23,3
"01",34,1,0,0,8.80612448326845,12.4950039373824,37,2
"01",30,1,0,0,8.10167774745457,11.7905572015685,62,6
"01",39,1,0,1,7.82404601085629,11.5129254649702,24,4
"01",26,1,0,0,6.77422388635761,10.4631033404715,62,6
"01",34,1,0,1,6.90775527898214,10.5966347330961,62,6
"01",32,2,0,1,6.77422388635761,10.4631033404715,62,6
"01",31,1,0,1,7.0475172213573,10.7363966754712,62,6
"01",32,1,0,0,7.22620901010067,10.9150884642146,11,7
"01",32,2,0,1,6.93244789157251,10.6213273456864,50,7
"01",33,2,0,0,7.04433081398789,10.7579028806922,36,7
"01",28,4,0,1,6.79246912352434,10.5991316132947,21,2
"01",27,1,0,1,6.35870844239595,10.0475878965099,19,1
"01",29,1,0,1,6.78558764500793,10.4744670991219,21,2
"01",30,1,0,1,6.88243747099785,10.5713169251118,36,7
"01",33,1,0,0,7.13089883029635,10.8197782844103,62,6
"01",29,4,0,0,7.53636393840451,11.2252433925184,24,4
"01",30,1,0,1,7.34958803126118,11.1562505210315,62,6
"01",34,3,0,1,7.57558465155779,11.2644641056717,24,4
"01",28,1,0,1,6.79442659367513,10.5320962119585,62,6
"01",33,1,0,1,6.57228254269401,10.2611619968079,62,6
"01",35,2,0,1,6.51471269087253,10.2035921449865,55,5
"01",35,1,0,0,7.22620901010067,10.9150884642146,62,6
