ST,PWGTP,AGEP,WAGP,WKHP,YOEP,FOD1P,NATIVITY,WAOB,weeks,race,hispanic,ftfy,fulltime,female,baby
01,86,39,3000,40,,2312,1,1,6,2,0,0,1,1,0
01,83,30,30000,40,,2901,1,1,1,1,0,1,1,1,0
01,22,39,60000,60,,6206,1,1,1,1,0,1,1,0,
01,17,35,12000,30,,2310,1,1,4,1,0,0,0,1,1
01,105,35,16800,45,,6203,1,1,1,1,0,1,1,0,
01,109,31,50000,40,,6207,1,1,1,3,0,1,1,1,0
01,43,34,112000,50,,6212,1,1,1,1,0,1,1,0,
01,84,31,34000,40,,5301,1,1,3,1,0,0,1,1,0
01,313,31,38000,40,,5701,1,1,1,1,0,1,1,0,
01,103,39,14000,35,,2300,1,1,1,1,0,0,0,1,0
01,99,31,75000,40,,2102,1,1,1,1,0,1,1,0,
01,87,32,42000,40,,6402,1,1,1,1,0,1,1,0,
01,47,40,100000,50,,6201,1,1,1,1,0,1,1,0,
01,19,36,44000,40,,1103,1,1,1,1,0,1,1,0,
01,276,36,36000,40,,2309,1,1,1,1,0,1,1,1,0
01,81,39,40000,40,,6203,1,1,1,2,0,1,1,1,0
01,79,40,2600,45,,6207,1,1,6,1,0,0,1,1,1
01,63,39,110000,49,,6201,1,1,1,2,0,1,1,0,
01,111,39,75000,50,,6201,1,1,1,1,0,1,1,1,0
01,28,40,9800,40,,6107,1,1,3,1,0,0,1,1,0
01,63,40,39100,40,1995,2602,2,4,1,3,0,1,1,1,0
01,91,33,50000,42,,3700,1,1,1,2,0,1,1,0,
01,92,37,24000,34,,1901,1,1,1,1,0,0,0,1,1
01,125,30,35000,60,,6000,1,1,1,1,0,1,1,0,
01,84,33,75000,50,,2406,1,1,1,1,0,1,1,0,
01,79,38,70000,40,,1301,1,1,1,1,0,1,1,0,
01,320,38,107000,50,,1901,1,1,1,1,0,1,1,1,0
01,31,40,51000,30,1970,5404,1,5,1,1,0,0,0,1,0
01,114,40,20000,36,,6107,1,1,3,1,0,0,1,1,0
01,216,31,12000,30,2008,6207,2,4,2,3,0,0,0,1,0
01,60,37,80000,40,,1901,1,1,1,1,1,1,1,0,
01,71,37,45000,40,,1901,1,1,1,1,0,1,1,1,0
01,90,33,91000,40,,6212,1,1,1,1,0,1,1,0,
01,60,32,15000,30,,6402,1,1,4,1,0,0,0,0,
01,162,40,36000,40,,6203,1,1,1,4,0,1,1,1,0
01,76,32,31000,40,,5301,1,1,1,1,0,1,1,1,1
01,60,30,46000,55,,6001,1,1,1,1,0,1,1,1,0
01,85,38,72000,40,,2400,1,1,1,1,0,1,1,0,
01,113,37,72000,40,,6107,1,1,1,1,0,1,1,1,0
01,54,30,39000,40,,2305,1,1,1,1,0,1,1,0,
01,110,32,20000,40,,3600,1,1,1,2,0,1,1,1,0
01,60,40,149000,40,,6110,1,1,1,1,0,1,1,0,
01,72,40,30000,40,,6108,1,1,1,1,0,1,1,1,0
01,123,31,30000,45,,6203,1,1,1,1,0,1,1,0,
01,69,35,45000,48,,6206,1,1,1,1,0,1,1,1,0
01,227,37,60000,50,,6203,1,1,1,1,0,1,1,1,0
01,16,35,36000,45,,2307,1,1,1,1,0,1,1,1,0
01,103,32,50000,40,,6203,1,1,1,1,0,1,1,0,
01,140,31,60000,40,,5500,1,1,1,1,0,1,1,0,
01,64,34,53000,40,,6107,1,1,1,1,0,1,1,1,0
01,157,34,38000,40,,2304,1,1,1,1,0,1,1,1,0
01,58,40,60000,40,,6203,1,1,1,1,0,1,1,0,
01,65,38,54000,35,,2304,1,1,1,1,0,0,0,1,0
01,74,37,75000,70,,6100,1,1,1,1,0,1,1,1,0
01,176,34,3200,40,2008,6200,2,4,6,3,0,0,1,0,
01,84,30,32000,42,,6107,1,1,1,1,0,1,1,1,0
01,182,39,58000,50,,5901,1,1,4,1,0,0,1,0,
