code_numeric,fhpolrigaug,lrgdpch,laborshare,lpop,socialist,medage,year
29,0,NA,NA,6.544113,0,17.9,1995
29,0,NA,NA,6.690842,0,18.3,2000
30,NA,6.864856,NA,6.173786,0,15.9,1960
30,NA,6.888062,NA,6.308463,0,15.3,1965
30,0.6666667,7.08392,0.2962391,6.456769,0,15.1,1970
30,0.8333333,7.704757,0.3814571,6.632002,0,15.2,1975
30,0.8333333,8.141397,0.3895154,6.809039,0,15.4,1980
30,0.8333333,8.322673,0.3486808,6.985642,0,15.8,1985
30,1,8.598033,NA,7.151485,0,16.8,1990
30,0.8333333,8.680874,NA,7.309882,0,18,1995
30,0.8333333,NA,NA,7.423568,0,19.1,2000
31,0.65,7.685929,NA,7.335634,0,21.1,1960
31,0.34,7.661548,NA,7.424762,0,20.5,1965
31,0,7.714268,0.2858601,7.5224,0,19.8,1970
31,0,7.544977,0.3906677,7.629004,0,19.3,1975
31,0,7.493813,0.5616046,7.746301,0,19,1980
31,0,7.350046,0.455169,7.882692,0,19,1985
31,0.1666667,7.231359,0.3575428,7.987864,0,18.5,1990
31,0.6666667,6.997157,NA,8.11582,0,18.4,1995
31,0.6666667,NA,NA,8.220673,0,18.3,2000
32,1,9.247975,0.5004504,9.793058,0,26.4,1960
32,1,9.429002,0.5069515,9.887257,0,25.5,1965
32,1,9.554069,0.479002,9.967588,0,25.9,1970
32,1,9.719351,0.4776652,10.0523,0,27.4,1975
32,1,9.851376,0.471002,10.11022,0,29.2,1980
32,1,9.937892,0.4364161,10.16362,0,31,1985
32,1,10.01457,0.4669485,10.23247,0,32.9,1990
32,1,10.04093,NA,10.28718,0,34.8,1995
32,1,10.20005,NA,10.33429,0,36.9,2000
33,1,9.614354,NA,8.587092,0,32.5,1960
33,1,9.781814,NA,8.675222,0,31.6,1965
33,1,9.933574,NA,8.743053,0,31.9,1970
33,1,9.923444,NA,8.764834,0,33.1,1975
33,1,10.01333,NA,8.751316,0,34.8,1980
33,1,10.05375,NA,8.774931,0,36.2,1985
33,1,10.17087,NA,8.811652,0,36.4,1990
33,1,10.1079,NA,8.859506,0,38.1,1995
33,1,10.18164,NA,8.879055,0,40.2,2000
34,1,8.256587,0.247961,8.936955,0,20.8,1960
34,0.97,8.318665,0.1956914,9.056256,0,20.3,1965
34,1,8.475132,0.1391019,9.158626,0,20.4,1970
34,0,8.336102,0.180744,9.243484,0,21.2,1975
34,0.1666667,8.59636,0.1626224,9.318926,0,22.6,1980
34,0.1666667,8.514451,0.148833,9.396571,0,24.1,1985
34,0.8333333,8.723846,0.1808964,9.480291,0,25.6,1990
34,0.8333333,9.046407,NA,9.561729,0,27,1995
34,0.8333333,9.202866,NA,9.629794,0,28.3,2000
35,0.23,6.524397,NA,13.41065,0,21.8,1960
35,0.16,6.643185,NA,13.4803,0,20.4,1965
35,0,6.702918,NA,13.615,0,19.7,1970
35,0,6.810732,NA,13.7282,0,20.6,1975
35,0.1666667,6.974238,0.1567371,13.79657,0,22.1,1980
35,0.1666667,7.29593,NA,13.86529,0,23.8,1985
35,0,7.48804,NA,13.94231,0,25.3,1990
35,0,7.943825,NA,14.00187,0,27.6,1995
35,0,8.22879,NA,14.04857,0,30,2000
36,0.43,7.395059,NA,8.237215,0,18.1,1960
36,0.41,7.517912,0.2425708,8.417815,0,17.5,1965
36,0.1666667,7.779274,0.2617835,8.615227,0,17.5,1970
36,0.1666667,7.91229,0.2994878,8.818038,0,17.4,1975
36,0.1666667,7.834884,NA,9.011157,0,17.4,1980
36,0.1666667,7.750678,NA,9.198066,0,17.2,1985
36,0.1666667,7.660792,NA,9.375854,0,17,1990
36,0.1666667,7.564293,NA,9.538204,0,17.4,1995
36,0.1666667,7.533251,NA,9.681156,0,18.1,2000
37,0.73,7.426562,NA,8.574707,0,20,1960
37,0.56,7.43674,NA,8.679652,0,19.7,1965
37,0.1666667,7.365277,0.3259742,8.797398,0,19.1,1970
37,0.1666667,7.550082,0.3813516,8.928243,0,18.5,1975
37,0.1666667,7.662082,0.3115495,9.073833,0,17.9,1980
37,0.1666667,7.935494,0.4714843,9.214631,0,17.5,1985
37,0.1666667,7.725914,NA,9.359966,0,17.4,1990
37,0,7.525447,NA,9.493487,0,17.6,1995
37,0,7.62151,NA,9.607505,0,18.1,2000
38,0.71,6.200138,NA,6.895683,0,19.3,1960
38,0.46,6.680865,0.3363029,7.013016,0,18.8,1965
38,0,6.83407,0.4432348,7.141245,0,18.2,1970
38,0.3333333,7.08902,NA,7.277248,0,17.6,1975
38,0,7.354609,0.472422,7.41998,0,17.2,1980
38,0,7.680787,0.4340582,7.562161,0,17.1,1985
38,0.1666667,7.646156,NA,7.709757,0,17,1990
38,0.5,7.473289,NA,7.86442,0,16.9,1995
38,0.1666667,7.500045,NA,8.01235,0,16.7,2000
39,0.7,7.83598,0.253684,9.732521,0,16.9,1960
39,0.71,7.917769,0.2330371,9.882826,0,16.6,1965
39,0.8333333,8.058127,0.2123069,10.02398,0,16.9,1970
39,0.8333333,8.220092,0.2089988,10.14176,0,17.9,1975
39,0.8333333,8.369085,0.204328,10.2558,0,18.9,1980
39,0.8333333,8.377017,0.1469268,10.36278,0,20.2,1985
39,0.6666667,8.504004,0.1471844,10.46225,0,21.7,1990
39,0.5,8.608838,NA,10.55992,0,22.9,1995
39,0.5,8.591086,NA,10.65253,0,24,2000
40,NA,7.563939,NA,NA,0,17.6,1960
40,NA,7.698801,NA,NA,0,17.2,1965
40,NA,7.763431,NA,NA,0,16.6,1970
40,0.3333333,7.773191,NA,NA,0,16.1,1975
40,0.5,7.63765,NA,5.81413,0,16,1980
40,0.1666667,7.723227,NA,5.937536,0,15.9,1985
40,0.3333333,7.676051,NA,6.068426,0,16.4,1990
40,0.5,7.417264,NA,6.198479,0,17.1,1995
40,0.1666667,7.363977,NA,6.324359,0,18,2000
41,NA,6.902211,NA,5.278115,0,19.7,1960
41,NA,6.851697,NA,5.433722,0,17.5,1965
41,NA,7.234652,NA,5.587249,0,16.1,1970
41,0.3333333,7.070885,NA,5.627621,0,16.3,1975
41,0.1666667,7.571468,NA,5.666427,0,16.5,1980
41,0.1666667,7.835604,NA,5.736572,0,16.9,1985
41,0.3333333,7.976821,NA,5.833055,0,16.6,1990
41,1,8.063305,NA,5.945421,0,17.1,1995
41,1,8.300804,NA,6.074909,0,18.5,2000
42,0.91,8.153575,0.2669897,7.065613,0,18,1960
42,0.9,8.222897,0.2336004,7.267525,0,16.9,1965
42,1,8.33831,NA,7.459915,0,17.4,1970
42,1,8.483473,NA,7.584773,0,18.7,1975
42,1,8.597603,0.3386631,7.733684,0,20,1980
42,1,8.443103,0.3641866,7.879292,0,21.4,1985
42,1,8.503364,NA,8.022569,0,22.5,1990
42,1,8.581841,NA,8.140316,0,23.5,1995
42,1,8.677622,NA,8.245384,0,24.5,2000
43,0.14,NA,NA,8.851521,0,23.4,1960
43,0.05,NA,NA,8.955964,0,22.7,1965
43,0,NA,NA,9.050172,0,22.3,1970
43,0,NA,NA,9.138414,0,22.7,1975
43,0.1666667,NA,NA,9.180912,0,24.2,1980
43,0.1666667,8.840083,NA,9.221775,0,25.7,1985
43,0,8.80514,NA,9.270965,0,27.8,1990
43,0,8.534362,NA,9.302373,0,30.2,1995
43,0,NA,NA,9.322598,0,33,2000
44,0.86,7.997364,0.3227957,6.350886,0,23,1960
44,0.87,8.290691,0.3865559,6.36647,0,23.3,1965
44,0.8333333,8.570662,0.3881594,6.421622,0,25.9,1970
44,0.5,8.415262,0.3669118,6.413459,0,27.1,1975
44,0.6666667,8.957566,0.4711309,6.415097,0,28.7,1980
44,1,9.16623,0.4557158,6.473891,0,29.3,1985
44,1,9.465647,0.4811111,6.523562,0,30.9,1990
44,1,9.68425,NA,6.59578,0,31.9,1995
44,1,NA,NA,6.629363,0,33.4,2000
45,NA,NA,NA,9.164715,1,32.8,1960
45,NA,NA,NA,9.187481,1,33.4,1965
45,NA,NA,NA,9.187583,1,33.5,1970
45,NA,NA,NA,9.216323,1,32.6,1975
45,NA,NA,NA,9.233275,1,33,1980
45,NA,NA,NA,9.243292,1,34,1985
45,NA,9.516825,NA,9.245997,1,35.2,1990
45,1,9.465741,NA,9.242905,1,36.2,1995
45,1,9.522665,NA,9.237304,1,37.6,2000
46,0.22,NA,NA,9.514016,1,NA,1960
46,0.2,NA,NA,9.557303,1,NA,1965
46,0,NA,NA,9.568259,1,NA,1970
46,0,NA,NA,9.602335,1,NA,1975
46,0,NA,NA,9.630122,1,NA,1980
46,0,NA,NA,9.650387,1,NA,1985
46,0.8333333,NA,NA,9.65797,1,NA,1990
46,NA,NA,NA,9.661077,1,NA,1995
46,NA,NA,NA,9.659778,1,NA,2000
47,NA,NA,NA,11.19374,0,34.7,1960
47,NA,NA,NA,11.23373,0,34.4,1965
47,NA,9.427697,NA,11.26085,0,34.3,1970
47,NA,9.505297,NA,11.27313,0,35.4,1975
47,NA,9.6754,NA,11.26834,0,36.4,1980
47,NA,9.754589,NA,11.26058,0,37.1,1985
47,1,9.881375,NA,11.28267,0,37.7,1990
47,1,9.953698,NA,11.3101,0,38.4,1995
47,1,10.03695,NA,11.31703,0,39.9,2000
48,0.2,NA,NA,NA,1,NA,1960
48,0.18,NA,NA,NA,1,NA,1965
48,0,NA,NA,NA,1,NA,1970
48,0,NA,NA,NA,1,NA,1975
48,0,NA,NA,NA,1,NA,1980
48,0,NA,NA,NA,1,NA,1985
48,NA,NA,NA,NA,1,NA,1990
48,NA,NA,NA,NA,1,NA,1995
48,NA,NA,NA,NA,1,NA,2000
49,0.88,NA,NA,NA,0,NA,1960
49,0.89,NA,NA,NA,0,NA,1965
49,1,NA,NA,NA,0,NA,1970
49,1,NA,NA,NA,0,NA,1975
49,1,NA,NA,NA,0,NA,1980
49,1,NA,NA,NA,0,NA,1985
49,NA,NA,NA,NA,0,NA,1990
49,NA,NA,NA,NA,0,NA,1995
49,NA,NA,NA,NA,0,NA,2000
50,NA,NA,NA,4.41884,0,17.4,1960
50,NA,NA,NA,4.736198,0,17.5,1965
50,NA,NA,NA,5.043425,0,17.4,1970
50,NA,NA,NA,5.347107,0,17.3,1975
50,0.6666667,NA,NA,5.703783,0,17.6,1980
50,0.1666667,NA,NA,5.869297,0,17.9,1985
50,0.1666667,NA,NA,6.152733,0,18.2,1990
50,0.3333333,NA,NA,6.363028,0,18.4,1995
50,0.5,NA,NA,6.448889,0,18.3,2000
51,NA,NA,NA,4.099332,0,NA,1960
51,NA,NA,NA,4.166665,0,NA,1965
51,NA,NA,NA,4.225373,0,NA,1970
51,NA,NA,NA,4.261271,0,NA,1975
51,0.8333333,8.126091,NA,4.295242,0,NA,1980
51,0.8333333,8.471012,NA,4.298101,0,NA,1985
51,0.8333333,8.676472,NA,4.280271,0,NA,1990
51,1,8.789487,NA,4.29046,0,NA,1995
51,1,8.906344,NA,4.276666,0,NA,2000
52,1,9.304565,0.5752713,8.429672,0,33,1960
52,1,9.532278,0.5477003,8.467583,0,32.8,1965
52,1,9.682693,0.6193676,8.502892,0,32.5,1970
52,1,9.717537,0.6168017,8.529121,0,33,1975
52,1,9.814511,0.5566534,8.541495,0,34.3,1980
52,1,9.913645,0.5527889,8.539737,0,36,1985
52,1,9.989904,0.5808782,8.544808,0,37.1,1990
52,1,10.07164,NA,8.561784,0,37.7,1995
52,1,10.18898,NA,8.582981,0,38.7,2000
53,0.21,7.435221,0.5106381,8.080547,0,16.7,1960
53,0.39,7.44714,0.3867526,8.244334,0,16.2,1965
53,0.6666667,7.609761,0.282246,8.394573,0,16.3,1970
53,0.5,7.854886,0.2459207,8.526748,0,17.1,1975
53,0.8333333,7.978275,0.2417521,8.647344,0,18.2,1980
53,1,8.036067,NA,8.770439,0,19.4,1985
53,0.8333333,8.058249,NA,8.862342,0,20.4,1990
53,0.5,8.221441,NA,8.948586,0,21.8,1995
53,0.8333333,8.569816,NA,9.032767,0,23.1,2000
54,NA,7.8876,NA,9.287301,0,18.2,1960
54,0.27,8.104171,0.4408546,9.386225,0,16.7,1965
54,0.1666667,8.141255,0.4817547,9.528503,0,15.8,1970
54,0,8.206531,0.5132669,9.681468,0,16.2,1975
54,0.1666667,8.469116,0.5427818,9.834629,0,16.6,1980
54,0.1666667,8.612084,0.5532384,9.993282,0,17.7,1985
54,0.5,8.510196,NA,10.12751,0,18.5,1990
54,0.1666667,8.43754,NA,10.2421,0,19.7,1995
54,0.1666667,8.496084,NA,10.3217,0,21.7,2000
55,0.84,7.602719,0.2901879,8.398185,0,18.5,1960
55,0.45,7.652979,0.2641515,8.545587,0,17.8,1965
55,0,7.737057,0.2592714,8.694502,0,17.6,1970
55,0,8.160672,0.2312303,8.840291,0,17.9,1975
55,0.8333333,8.352687,0.3698543,8.98231,0,18.4,1980
55,0.8333333,8.276384,0.3304108,9.11592,0,19.1,1985
55,0.8333333,8.235887,0.3817386,9.236398,0,20.1,1990
55,0.8333333,8.264271,NA,9.346618,0,21.4,1995
55,0.6666667,8.151236,NA,9.445096,0,22.7,2000
56,0.37,7.298231,0.4842565,10.16285,0,19.1,1960
