hsgpa,psu,entercollege,privatehs,hidad,himom,over475
54,475.5,0,0,0,0,1
54,352,0,0,0,0,0
63,569,0,0,1,1,1
55,608,0,1,0,0,1
50,523.5,0,0,0,0,1
54,436,1,0,0,0,0
61,444.5,0,0,0,0,0
50,545,1,0,1,1,1
60,472.5,1,0,0,0,0
61,500.5,0,0,0,0,1
54,336,0,0,0,0,0
57,512,0,0,1,1,1
51,325.5,0,0,1,0,0
50,479.5,0,0,1,1,1
66,406.5,0,0,0,0,0
57,656,0,0,1,0,1
55,636,1,0,0,0,1
64,518.5,1,0,1,0,1
52,500.5,0,0,0,0,1
53,430.5,0,0,0,0,0
55,543.5,0,0,0,1,1
58,540.5,1,0,1,1,1
63,561,0,1,0,0,1
58,646.5,1,0,0,1,1
50,482,0,0,0,0,1
58,595.5,1,0,0,0,1
49,409.5,1,0,1,1,0
60,475,1,0,0,0,1
55,592.5,0,0,0,0,1
58,670,1,0,1,1,1
58,681,1,1,1,1,1
45,503.5,0,0,0,0,1
55,442,0,0,0,0,0
52,442.5,0,0,0,0,0
60,626,0,0,1,1,1
54,398,0,0,0,0,0
62,570,1,0,0,1,1
61,368.5,0,0,0,0,0
59,635,1,0,1,0,1
54,570,0,0,1,1,1
61,538,1,0,0,0,1
61,475.5,1,0,1,0,1
50,544,0,0,1,1,1
65,673,1,0,1,0,1
51,431.5,0,0,0,1,0
68,448,0,0,0,0,0
62,476.5,1,0,0,0,1
57,579.5,0,0,0,0,1
52,550.5,0,0,0,0,1
53,527,0,0,1,1,1
63,589,1,0,0,0,1
55,471.5,0,0,0,0,0
57,621,1,0,1,1,1
60,514.5,0,0,0,1,1
63,502.5,1,0,1,1,1
58,524.5,1,0,0,0,1
64,589,1,0,0,1,1
51,535,1,0,1,1,1
56,608.5,1,0,0,0,1
65,341.5,0,0,0,0,0
53,344.5,0,0,0,0,0
63,605.5,0,0,0,0,1
59,652,1,1,0,1,1
56,562.5,1,0,0,0,1
58,502,0,1,0,0,1
60,436.5,0,0,0,0,0
60,670.5,1,0,1,0,1
58,550,1,0,0,0,1
53,357,0,0,0,0,0
59,614,0,0,1,0,1
59,471,0,0,1,0,0
60,636,1,0,1,1,1
60,427.5,0,0,0,0,0
56,533.5,1,0,0,0,1
65,649,1,0,0,0,1
53,393.5,0,0,0,0,0
45,365.5,0,0,0,0,0
57,397.5,1,0,0,0,0
59,578,1,1,0,0,1
54,474.5,0,0,0,1,0
60,470,0,0,0,0,0
58,462.5,0,0,1,1,0
66,485.5,0,0,1,0,1
